tweet_id,text,rating_ratio,stage,retweet_count,favorite_count,p1,p1_conf,p1_dog
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,1.3,None,6955.0,33641.0,orange,0.0970486,False
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",1.3,None,5263.0,29170.0,Chihuahua,0.323581,True
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,1.2,None,3463.0,21945.0,Chihuahua,0.716012,True
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,1.3,None,7170.0,36691.0,paper_towel,0.17027799999999998,False
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",1.2,None,7706.0,35095.0,basset,0.555712,True
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,1.3,None,2576.0,17706.0,Chesapeake_Bay_retriever,0.425595,True
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",1.3,None,1643.0,10303.0,Appenzeller,0.34170300000000003,True
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,1.3,None,15660.0,56532.0,Pomeranian,0.566142,True
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,1.3,None,3598.0,24381.0,Irish_terrier,0.487574,True
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,1.4,doggo,6056.0,27791.0,Pembroke,0.511319,True
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,1.3,None,6103.0,26898.0,Samoyed,0.957979,True
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,1.3,None,4132.0,24435.0,French_bulldog,0.377417,True
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,1.3,puppo,8288.0,41791.0,Pembroke,0.966327,True
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,1.2,None,3694.0,23527.0,French_bulldog,0.99165,True
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,1.3,puppo,1873.0,13282.0,golden_retriever,0.953442,True
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,1.3,None,4412.0,21968.0,whippet,0.626152,True
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,1.2,None,3738.0,25477.0,golden_retriever,0.714719,True
888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,1.3,None,3507.0,22339.0,golden_retriever,0.46976,True
888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,1.3,None,2858.0,17220.0,Siberian_husky,0.700377,True
888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,1.2,None,2880.0,19058.0,French_bulldog,0.995026,True
887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,1.3,None,4512.0,26467.0,basset,0.821664,True
887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,1.4,None,9796.0,40499.0,limousine,0.130432,False
